"","GEOID","STATE","NO2_LEVELS","TOTAL_ADULTS","WHITE_ALONE","BLACK_ALONE","AIAN_ALONE","ASIAN_ALONE","NHPI_ALONE","OTHER_ALONE","TWO_MORE","HisLat_TOTAL","NotHisLat_TOTAL","INCOME_GROUP","UrbanRural"
"90",6037191204,"California",NA,1587,687,59,13,270,1,390,167,605,982,"$27,000 to <$52,000",NA
"91",6037191301,"California",NA,1776,528,94,18,361,1,583,191,829,947,"$27,000 to <$52,000",NA
"92",6037191420,"California",NA,2367,675,87,34,307,6,910,348,1378,989,"$52,000 to <$85,000",NA
"93",6037191620,"California",NA,2149,599,81,50,328,6,802,283,1187,962,"$27,000 to <$52,000",NA
"94",6037192420,"California",NA,3127,714,140,53,1112,3,762,343,1168,1959,"$52,000 to <$85,000",NA
"95",6037192520,"California",NA,3430,554,100,157,663,1,1529,426,2312,1118,"$27,000 to <$52,000",NA
"96",6037194402,"California",NA,2957,2325,71,4,233,5,100,219,260,2697,"$52,000 to <$85,000",NA
"97",6037199001,"California",NA,1899,173,30,13,620,0,639,424,1159,740,"$27,000 to <$52,000",NA
"98",6037203602,"California",NA,1576,241,30,49,40,2,942,272,1427,149,"$52,000 to <$85,000",NA
"99",6037203720,"California",NA,2700,383,48,90,59,4,1689,427,2480,220,"$27,000 to <$52,000",NA
"100",6037203900,"California",NA,2011,297,12,69,23,6,1189,415,1913,98,"$52,000 to <$85,000",NA
"101",6037204420,"California",NA,2130,373,71,52,35,3,1251,345,1935,195,"$27,000 to <$52,000",NA
"102",6037205110,"California",NA,2599,280,22,137,25,0,1658,477,2493,106,"$27,000 to <$52,000",NA
"103",6037206201,"California",NA,2476,677,413,29,762,9,321,265,580,1896,"$27,000 to <$52,000",NA
"104",6037206302,"California",NA,1307,345,491,28,58,9,239,137,397,910,"<$27,000",NA
"105",6037207303,"California",NA,2253,934,293,8,599,7,168,244,356,1897,"$27,000 to <$52,000",NA
